Unnamed:0,Cloud File,R-Mean,G-Mean,B-Mean,R-Var,G-Var,B-Var,Edge-DetectionValue,Label
0,1546354560.jpg,146.7877627,141.5538985,142.0961403,240.9991944,153.6105529,164.9361672,1.125121683,3
1,1546440960.jpg,147.7392826,141.9850036,141.9118195,360.3494217,263.5935848,281.761757,1.382655165,3
2,1546527360.jpg,110.0252395,129.619532,152.5800285,807.2325839,356.503377,187.0691783,1.450179812,2
3,1546613760.jpg,251.8069964,246.9193452,254.7965727,224.0130929,52.53250616,3.044233976,1.486282397,5
4,1546700160.jpg,109.7281149,123.7080504,138.2510812,746.1357969,479.3215107,230.9348323,0.943332248,4
5,1546786560.jpg,91.3933803,128.6143872,170.0639408,853.5540557,448.4199451,255.5618551,0.977354601,0
6,1546872960.jpg,255,248,255,0,0,0,1.007703993,5
7,1546959360.jpg,65.57748868,128.0310888,178.3350392,635.5744379,545.3541953,460.1795324,0.968141586,4
8,1547045760.jpg,142.1422371,138.7182912,152.2305928,233.78436,170.9253772,191.2237445,1.211469184,2
9,1547132160.jpg,131.1000992,134.5536706,143.8756944,152.4460999,143.0269496,184.1130886,0.840900918,1
10,1547218560.jpg,131.4029142,140.6132564,166.2214658,198.8717158,187.0593983,282.709525,0.869325087,1
11,1547304960.jpg,140.7284234,132.4270903,131.5100904,155.3856142,91.75783987,101.9875842,1.35211046,3
12,1547391360.jpg,140.0643787,137.0893787,141.0836248,109.581272,59.30060209,55.99571027,0.874977524,3
13,1547477760.jpg,76.99365544,122.6126023,161.9343828,608.5994327,370.680429,205.1547082,0.882932633,4
14,1547564160.jpg,143.0461054,133.4844091,133.869532,127.5076748,76.61055802,78.28128152,0.900410776,5
15,1547650560.jpg,133.743254,135.9383929,143.4796627,158.8775308,91.57983241,97.64621028,0.8546813,3
16,1547736960.jpg,129.5967262,129.600496,129.7518849,130.0972552,99.52329744,102.8931652,0.752686322,3
17,1547823360.jpg,135.6048619,132.6516873,134.1172627,120.9299049,102.6065932,122.8412509,0.822143942,3
18,1547909760.jpg,144.9126488,141.2981825,142.1378418,287.4878435,199.2419163,205.4283063,0.948497179,3
19,1547996160.jpg,113.4121233,126.6122969,145.8056989,801.3636334,286.8396634,181.0894893,2.408723183,2
20,1548082560.jpg,106.899149,128.2030235,153.6473517,746.1889905,401.8014394,224.7639739,2.411143663,0
21,1548168960.jpg,140.3266888,135.6013912,135.5626015,131.4656431,74.89734631,70.08088543,0.758445716,3
22,1548255360.jpg,139.640253,133.8695305,133.4093959,275.7109901,206.4480966,206.4593117,1.048690941,3
23,1548341760.jpg,255,248,255,0,0,0,1.007703993,5
24,1548428160.jpg,38.58940585,125.9990738,193.9711031,641.9200634,665.7482437,727.6199611,0.959123109,4
25,1548514560.jpg,139.2175355,143.5551099,154.1295767,221.2564923,205.1231456,240.6334323,0.981058563,2
26,1548600960.jpg,63.04007781,120.5951474,168.9878178,619.7661672,456.2077903,318.2062814,0.888648624,4
27,1549032960.jpg,138.6894849,132.2046635,132.0647825,65.58671297,37.90841901,45.63896651,0.717130146,3
28,1549119360.jpg,71.50333814,123.3617583,167.8095137,488.9175763,345.9689798,236.818535,0.893450831,0
29,1549205760.jpg,33.72072018,128.2481438,199.0301944,1064.470491,559.9675751,511.4194954,1.551814391,2
30,1549292160.jpg,141.0900236,136.4516811,136.8973354,320.9784083,241.0484915,251.1002533,1.371216208,1
31,1549378560.jpg,143.4002976,138.666369,139.6960317,199.4953422,148.3490326,163.8732035,0.796961806,3
32,1549464960.jpg,143.9485119,139.2007937,138.4235119,174.3721134,141.1728392,148.0596878,0.792265005,3
33,1549551360.jpg,138.0838348,134.1587108,133.7970788,199.1139174,146.9014222,152.8469872,0.863336279,3
34,1549637760.jpg,92.38422387,126.2071026,160.6847866,1984.831085,527.7385213,197.8166708,1.678773717,2
